[2025-02-23 17:15:16 | 0x0000...DE66] 🔹 Processing wallet: 0x0000...DE66
[2025-02-23 17:15:16 | 0x0000...DE66] 🔹 Requesting challenge...
[2025-02-23 17:15:22 | 0x0000...DE66] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:15:22 | 0x0000...DE66] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:15:22 | 0xF59C...ab26] 🔹 Processing wallet: 0xF59C...ab26
[2025-02-23 17:15:22 | 0xF59C...ab26] 🔹 Requesting challenge...
[2025-02-23 17:15:27 | 0xF59C...ab26] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:15:27 | 0xF59C...ab26] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:15:27 | 0xc67b...dC33] 🔹 Processing wallet: 0xc67b...dC33
[2025-02-23 17:15:27 | 0xc67b...dC33] 🔹 Requesting challenge...
[2025-02-23 17:15:32 | 0xc67b...dC33] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:15:32 | 0xc67b...dC33] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:15:32 | 0xB256...A874] 🔹 Processing wallet: 0xB256...A874
[2025-02-23 17:15:32 | 0xB256...A874] 🔹 Requesting challenge...
[2025-02-23 17:15:37 | 0xB256...A874] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:15:37 | 0xB256...A874] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:15:37 | 0x15A6...dADc] 🔹 Processing wallet: 0x15A6...dADc
[2025-02-23 17:15:37 | 0x15A6...dADc] 🔹 Requesting challenge...
[2025-02-23 17:15:42 | 0x15A6...dADc] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:15:42 | 0x15A6...dADc] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:15:42 | 0xA7C0...71a1] 🔹 Processing wallet: 0xA7C0...71a1
[2025-02-23 17:15:42 | 0xA7C0...71a1] 🔹 Requesting challenge...
[2025-02-23 17:15:47 | 0xA7C0...71a1] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:15:47 | 0xA7C0...71a1] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:15:47 | 0xCD2c...97ae] 🔹 Processing wallet: 0xCD2c...97ae
[2025-02-23 17:15:47 | 0xCD2c...97ae] 🔹 Requesting challenge...
[2025-02-23 17:15:52 | 0xCD2c...97ae] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:15:52 | 0xCD2c...97ae] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:15:52 | 0x4964...da51] 🔹 Processing wallet: 0x4964...da51
[2025-02-23 17:15:52 | 0x4964...da51] 🔹 Requesting challenge...
[2025-02-23 17:15:57 | 0x4964...da51] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:15:57 | 0x4964...da51] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:15:57 | 0x9090...f2A4] 🔹 Processing wallet: 0x9090...f2A4
[2025-02-23 17:15:57 | 0x9090...f2A4] 🔹 Requesting challenge...
[2025-02-23 17:16:02 | 0x9090...f2A4] ❌ Error during login: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:16:02 | 0x9090...f2A4] ❌ Error: ❌ Failed to get challenge: Forbidden
[2025-02-23 17:16:02 | 0x19a6...b39f] 🔹 Processing wallet: 0x19a6...b39f
[2025-02-23 17:16:02 | 0x19a6...b39f] 🔹 Requesting challenge...
